ID,UTTERANCE,CORE RELATIONS
814,what movies did spike lee direct,movie.directed_by
815,movies cecil b demille,movie.directed_by
816,i want to see a comedy in spanish,movie.language movie.genre
817,find films,NO_REL
818,find films,NO_REL
819,find movies,NO_REL
820,in search for movies,NO_REL
821,looking for movies,NO_REL
822,find a movie,NO_REL
823,are there movies not rated g,movie.rating
824,i don't want any g rated movies,movie.rating
825,can you find some drama movies,movie.genre
826,i'd like to watch something with drama,movie.genre
827,looking for a drama movie,movie.genre
828,show me a list of movies in english,movie.language
829,show me english movies,movie.language
830,find english movies,movie.language
831,can i get a list of movies available in english,movie.language
832,show me movies in english,movie.language
833,i would like to see movies in english,movie.language
834,movies in english,movie.language
835,show me a list of all movies made in the united states,movie.country
836,what are all movies made by united states,movie.country
837,what movies have been made in the united states,movie.country
838,movies from the us,movie.country
839,what are all of the movies made in usa,movie.country
840,i want to see movies made in america,movie.country
841,show me a list of movies made in america,movie.country
842,show me movies made in america,movie.country
843,please tell me if you have any movies from the united states,movie.country
844,movies from the us,movie.country
845,please tell me about movies from the usa,movie.country
846,english movie list,movie.country movie.language
847,show me thrillers,movie.genre
848,show me thrillers,movie.genre
849,show me comedies,movie.genre
850,looking for a comedy movie,movie.genre
851,see comedy,movie.genre
852,show me comedy movies,movie.genre
853,show me funny movies,movie.genre
854,movies that have comedy,movie.genre
855,can you show me a list of scary movies,movie.genre
856,i am in the mood for a horror film,movie.genre
857,looking for a horror movie,movie.genre
858,search for horror movies,movie.genre
859,show me horror movies,movie.genre
860,show only horror movies,movie.genre
861,show me a list of scary movies,movie.genre
862,i want to see a list of scary movies,movie.genre
863,funny scary movies,movie.genre
864,movies by producer,movie.produced_by
865,find movies by producer,movie.produced_by
866,movies with bruce willis,movie.starring.actor
867,clint eastwood movies,movie.starring.actor
868,find movies from canada,movie.country
869,get me canadian movies,movie.country
870,show me movies from canada,movie.country
871,look up information about canadian movies,movie.country
872,get movies from canada,movie.country
873,show me a list of any movies made in canada,movie.country
874,find movies filmed in canada,movie.country
875,get films made in canada,movie.country
876,show me canadian films,movie.country
877,show me canadian movies,movie.country
878,are there any canadian movies,movie.country
879,are there any canadian movies,movie.country
880,find canadian films,movie.country
881,what are some movies made outside the us,movie.country
882,movies from germany,movie.country
883,i want to watch movies from germany,movie.country
884,display movies made in germany,movie.country
885,find movies done in germany,movie.country
886,what movies do you have that were made in italy,movie.country
887,movies from italy,movie.country
888,does italy make any movies,movie.country
889,find italian movies,movie.country movie.language
890,italian films,movie.country movie.language
891,italian movies,movie.country movie.language
892,show me italian movies,movie.country movie.language
893,get all italian language movies,movie.language
894,send me movies that are in italian,movie.language
895,movies with italian language,movie.language
896,show me movies in italian,movie.language
897,what movies are in italian,movie.language
898,search for movies in italian,movie.language
899,find movies in italian,movie.language
900,a list of all italian speaking movies,movie.language
901,give me a list of movies from spain,movie.country
902,see movies from spain,movie.country
903,movies from spain,movie.country
904,movies from spain,movie.country
905,i want to see movies from spain,movie.country
906,movies made in spain,movie.country
907,are there any movies made in spain,movie.country
908,bring up spanish movies,movie.country movie.language
909,can you show me movies spanish,movie.country movie.language
910,can you show me spanish movies,movie.country movie.language
911,find spanish movies,movie.country movie.language
912,find spanish movies,movie.country movie.language
913,get me spanish movies,movie.country movie.language
914,I'd like a list of spanish movies,movie.country movie.language
915,I'd like to know some spanish movies,movie.country movie.language
916,i want only spanish movies,movie.country movie.language
917,i want to look up spanish movies,movie.country movie.language
918,list spanish movies,movie.country movie.language
919,list spanish movies,movie.country movie.language
920,look for spanish movies,movie.country movie.language
921,search for spanish movies,movie.country movie.language
922,search for spanish movies,movie.country movie.language
923,show me spanish movies,movie.country movie.language
924,spanish movie listing,movie.country movie.language
925,spanish movies,movie.country movie.language
926,find romance movies,movie.genre
927,give me a list of romance movies,movie.genre
928,find me romantic movies,movie.genre
929,i want to find romantic movies,movie.genre
930,locate romantic movies for me,movie.genre
931,list some movies that are in french,movie.language
932,find french language movies,movie.language
933,find movies in french,movie.language
934,find movies is french,movie.language
935,list movies in french,movie.language
936,look for movies in french,movie.language
937,search for movies in french,movie.language
938,search for movies in french,movie.language
939,show me movies produced in french,movie.language
940,show movies in french,movie.language
941,show only movies that are in french,movie.language
942,find french language movies,movie.language
943,list of all french speaking films,movie.language
944,list of french language movies,movie.language
945,show me movies in french,movie.language
946,can you list movies in french,movie.language
947,find all films showing in french,movie.language
948,show me a list of all the movies produced by william packer,movie.produced_by
949,information about movie,NO_REL
950,show me information about movie,NO_REL
951,show me information on movie,NO_REL
952,tell me about movie,NO_REL
953,please show me all of the films that involve kevin bacon,movie.starring.actor
954,i want movies about 9-11,movie.subjects
955,what other movies has bill paxton starred in,movie.starring.actor
956,find some suspenseful movies,movie.genre
957,a movie based on time travel,movie.subjects
958,find time travel movies,movie.subjects
959,give me a list of time travel movies,movie.subjects
960,movies about time travel,movie.subjects
961,show me movies about time travel,movie.subjects
962,show me movies with time travel themes,movie.subjects
963,show me time travel movies,movie.subjects
964,show videos about time travel,movie.subjects
965,time travel movies,movie.subjects
966,what are movies whose topic involves time travel,movie.subjects
967,movies about time travel,movie.subjects
968,movies about time travel,movie.subjects
969,show me movies about time travel,movie.subjects
970,show me movies about time travel,movie.subjects
971,show me some movies that are related to time travel,movie.subjects
972,what are some movies that involve time travel,movie.subjects
973,what movies discuss time travel,movie.subjects
974,quentin tarrantino movies,movie.directed_by
975,what movies did quentin terrantino direct,movie.directed_by
976,list the movies anna paquin has starred in,movie.starring.actor
977,movies from england,movie.country
978,movies from england,movie.country
979,movies from england please,movie.country
980,show me england movies,movie.country
981,show me movies from england,movie.country
982,show me movies made in england,movie.country
983,find movies directed by chris columbus,movie.directed_by
984,what other movies has richard lester directed,movie.directed_by
985,search for movies by language,movie.language
986,mandarin movie please,movie.language
987,please find a movie in mandarin,movie.language
988,movie made in mandarin,movie.language
989,which movies are originally in a foreign language,movie.language
990,find me tamil movies,movie.language
991,show me the latest movies in tamil,movie.language
992,find hindi movies,movie.language
993,find movies in hindi,movie.language
994,list the hindi movies,movie.language
995,what is hindi,movie.language
996,i would like to get a list of movie names in hindi language,movie.language
997,what films are not spoken in english,movie.language
998,what movies are spoken in another language,movie.language
999,i want to watch a romance made in india,movie.country movie.genre
1000,i need to get a list of some romantic indian movies,movie.country movie.language movie.genre
1001,find movies from india,movie.country
1002,look up movies from india,movie.country
1003,see movies from india,movie.country
1004,find indian movies,movie.country movie.language
1005,give me a list of some indian movies,movie.country movie.language
1006,brian de palma movies,movie.directed_by
1007,complete list of movies made by searchlight films,movie.production_companies
1008,list movies by searchlight films,movie.production_companies
1009,list of movies produced by searchlight films,movie.production_companies
1010,what are some movies made by searchlight films,movie.production_companies
1011,movies about bank robberies,movie.subjects
1012,show me sarah polley movies,movie.starring.actor
1013,show me french r rated dramas,movie.country movie.language movie.genre movie.rating
1014,list french language comedy films,movie.language movie.genre
1015,show french comedy films,movie.language movie.genre
1016,what are some movies that were produced in europe,movie.country
1017,films produced by laurie macdonald,movie.produced_by
1018,find me dreamworks films,movie.production_companies
1019,movie by dreamworks,movie.production_companies
1020,movie made by dreamworks,movie.production_companies
1021,what movies are made by dreamworks,movie.production_companies
1022,i'm looking for the cost of some movies,movie.estimated_budget
1023,what movies did kevin costner direct,movie.directed_by
1024,dirty dancing movie,NO_REL
1025,dirty dancing movie short cuts,NO_REL
1026,show me the dirty dancing movie,NO_REL
1027,will you please show me info on the movie dirty dancing,NO_REL
1028,find the movie dirty dancing,NO_REL
1029,get me info for the movie dirty dancing,NO_REL
1030,i need to get every possible information related with the movie dirty dancing,NO_REL
1031,i want to see infomation on the movie dirty dancing,NO_REL
1032,i would like to get all the information about the movie dirty dancing,NO_REL
1033,please show me info on the movie dirty dancing,NO_REL
1034,show me all the information about the movie dirty dancing like story reviews cast etc,NO_REL
1035,show me info on the movie dirty dancing please,NO_REL
1036,show me information for the movie dirty dancing,NO_REL
1037,show me more details for the movie dirty dancing,NO_REL
1038,can you please show me info on the movie dirty dancing,NO_REL
1039,can you tell me about the movie dirty dancing in detail,NO_REL
1040,what films has robert redford directed,movie.directed_by
1041,i want to see a robert redford produced movie,movie.produced_by
1042,i would like to see something produced by robert redford,movie.produced_by
1043,bette midler movies,movie.starring.actor
1044,bette midler movies please,movie.starring.actor
1045,show bette midler movies,movie.starring.actor
1046,show me cameron diaz movies,movie.starring.actor
1047,show me movies with jennifer aniston,movie.starring.actor
1048,russell crowe movies,movie.starring.actor
1049,about life is beautiful,NO_REL
1050,details about life is beautiful please,NO_REL
1051,find synopsis for life is beautiful,NO_REL
1052,i need page on life is beautiful,NO_REL
1053,i want information about life is beautiful,NO_REL
1054,i want to know about life is beautiful,NO_REL
1055,i would like to view info on life is beautiful,NO_REL
1056,life is beautiful,NO_REL
1057,run a search for life is beautiful,NO_REL
1058,show me life is beautiful information,NO_REL
1059,what's the synopsis of life is beatiful,NO_REL
1060,footloose,NO_REL
1061,show jason statham movies,movie.starring.actor
1062,list statham's movies,movie.starring.actor
1063,find movies from new zealand,movie.country
1064,show me the movies acted by bala krishna,movie.starring.actor
1065,korean language movie,movie.language
1066,show me korean language movie,movie.language
1067,can you find the movies with korean language,movie.language
1068,show me movies that are in korean,movie.language
1069,portugese movies,movie.country movie.language
1070,current movie options for today with patrick swayze,movie.starring.actor movie.initial_release_date
1071,display all results for dirty dancing,NO_REL
1072,find information on dirty dancing,NO_REL
1073,search for dirty dancing,NO_REL
1074,search for dirty dancing,NO_REL
1075,how can i view dirty dancing,NO_REL
1076,dirty dancing facts,NO_REL
1077,did alfred hitchcock direct a comedy,movie.directed_by movie.genre
1078,martin lawrence directed what movie,movie.directed_by
1079,find movies from japan,movie.country
1080,show me movies from japan,movie.country
1081,show me movies from japan,movie.country
1082,what are some movies made in japan,movie.country
1083,what movies came from japan,movie.country
1084,which movies were made in japan,movie.country
1085,i want to find a list of movies made in japan,movie.country
1086,do you have any movies made in japan,movie.country
1087,find japanese movies,movie.country movie.language
1088,find japanese movies,movie.country movie.language
1089,give me some names of japanese movies,movie.country movie.language
1090,i want japanese movies,movie.country movie.language
1091,i want to see japanese movies,movie.country movie.language
1092,i would like to know names of some of the japanese movies,movie.country movie.language
1093,japanese movies,movie.country movie.language
1094,show me a list of some japanese movies,movie.country movie.language
1095,show me japanese movies,movie.country movie.language
1096,sort in all japanese movies,movie.country movie.language
1097,do you have a list of japanese movies,movie.country movie.language
1098,i want to see a film in japanese,movie.language
1099,show me movies in japanese,movie.language
1100,films with japaneese,movie.language
1101,what movies have people speaking japanese in them,movie.language
1102,what are some japanese movies,movie.country movie.language
1103,find movies in british english,movie.language
1104,find movies from miramax,movie.production_companies
1105,see miramax movies,movie.production_companies
1106,watch miramax,movie.production_companies
1107,find movies with sandra bullock,movie.starring.actor
1108,find sandra bullock movies,movie.starring.actor
1109,movies with sandra bullock,movie.starring.actor
1110,movies with vampires,movie.subjects
1111,what movies about vampires are there,movie.subjects
1112,movies will smith stars in,movie.starring.actor
1113,show me will smith movies,movie.starring.actor
1114,what experience does darla anderson have as a producer,movie.produced_by
1115,look for movies directed by tyler perry,movie.directed_by
1116,which movies are directed by tyler perry,movie.directed_by
1117,give me movies directed by tyler perry,movie.directed_by
1118,search for movies directed by tyler perry,movie.directed_by
1119,what films has selena gomez been in,movie.starring.actor
1120,find a movie with mel gibson,movie.starring.actor
1121,only mel gibson movies,movie.starring.actor
1122,find movies produced by paramount pictures,movie.production_companies
1123,i want to see paramount movies,movie.production_companies
1124,i would like a list of paramount movies,movie.production_companies
1125,list some paramount produced films,movie.production_companies
1126,show all movies by paramount,movie.production_companies
1127,show me all the movies made by paramount,movie.production_companies
1128,show only paramount movies,movie.production_companies
1129,is there a list of movies about chess,movie.subjects
1130,movies about chess,movie.subjects
1131,movies regarding the hobby of chess,movie.subjects
1132,list some of the best world war 2 films,movie.subjects
1133,find movies about dogs,movie.subjects
1134,find movies with a nc 17 only,movie.rating
1135,find me nc-17 movies,movie.rating
1136,show me nc seventeen movies,movie.rating
1137,play movies from turkey,movie.country
1138,what movies have come out of turkey,movie.country
1139,can i have a list of bruce lee produced movies,movie.produced_by
1140,can you give me a list of movies produced by bruce lee,movie.produced_by
1141,show me movies produced by bruce lee,movie.produced_by
1142,i want to see movies directed by michael bay,movie.directed_by
1143,what movies did michael bay direct,movie.directed_by
1144,ed harris films,movie.starring.actor
1145,show me all movies that star ed harris,movie.starring.actor
1146,more stuff about the movie go,NO_REL
1147,is parenthood a comedy,movie.genre
1148,find movies produced by mel gibson,movie.produced_by
1149,what movies has jerry bruckheimer produced,movie.produced_by
1150,i want to see chinese movies,movie.country movie.language
1151,show me chinese movies,movie.country movie.language
1152,show me dramas from china,movie.country movie.genre
1153,i want to watch a drama made in china,movie.country movie.genre
1154,give me the best baseball movies,movie.subjects
1155,list movies filmed in ireland,movie.country movie.locations
1156,list all the movies john travolta has done,movie.starring.actor
1157,columbia production company movies,movie.production_companies
1158,find me 20 th century fox films,movie.production_companies
1159,list of 20 th century fox films,movie.production_companies
1160,watch century fox movies,movie.production_companies
1161,films produced by twentieth century fox,movie.production_companies
1162,find movies by twentieth century fox,movie.production_companies
1163,find twentieth century fox movies,movie.production_companies
1164,search twentieth century fox,movie.production_companies
1165,show me movies by twentieth century fox,movie.production_companies
1166,show me elvis movies,movie.starring.actor
1167,do you have any pg thirteen rated movies,movie.rating
1168,show me pg thirteen movies,movie.rating
1169,what movies are rated pg thirteen,movie.rating
1170,find pg thirteen movies,movie.rating
1171,show me movies that are rated pg thirteen,movie.rating
1172,list all movies rated pg-13,movie.rating
1173,find movies with pg-13 only,movie.rating
1174,i need to know names of some movies which have a rating of pg-13,movie.rating
1175,i want to find pg-13 rated movies,movie.rating
1176,pg-13 movies,movie.rating
1177,which movies are rated pg-13,movie.rating
1178,find a pg-13 movie,movie.rating
1179,find me pg-13 movies,movie.rating
1180,find movies that are rated pg-13,movie.rating
1181,give me a list of some movies that have pg-13 rating,movie.rating
1182,i want to see a list of g rated movies,movie.rating
1183,list g,movie.rating
1184,what is a list of g movies,movie.rating
1185,are there any g movies out there right now,movie.rating
1186,find me movies rated g,movie.rating
1187,find movies only g,movie.rating
1188,get me only g-rated movies,movie.rating
1189,i want a list of movies rated g,movie.rating
1190,i want to see g -rated films now,movie.rating
1191,i want to take my kids to a g movie,movie.rating
1192,list of g movies,movie.rating
1193,list rating g,movie.rating
1194,listing of g movies,movie.rating
1195,look for movies rated g,movie.rating
1196,look up movies with a g rating,movie.rating
1197,play list g,movie.rating
1198,please select the option to search for g rated movies,movie.rating
1199,rating g,movie.rating
1200,search for movies rated g,movie.rating
1201,show me g rated movies,movie.rating
1202,show only g rated movies,movie.rating
1203,what available movies are rated g,movie.rating
1204,what movies are currently playing that are rated g,movie.rating
1205,find me movies rated g,movie.rating
1206,find movies that are rated g,movie.rating
1207,find movies with g rating,movie.rating
1208,g movies,movie.rating
1209,it is hard to find a movie that is rated g anymore,movie.rating
1210,list movies rated g,movie.rating
1211,only movies rated g,movie.rating
1212,rating g list,movie.rating
1213,show me g movies,movie.rating
1214,there are several g movies,movie.rating
1215,appropriate for kids,movie.rating
1216,what movies can young children watch,movie.rating
1217,watch pg and g movies,movie.rating
1218,did robert wise direct any other musical films,movie.directed_by movie.genre
1219,find love stories,movie.subjects
1220,find love stories,movie.subjects
1221,show me a list of movies produced by mgm,movie.production_companies
1222,movies from the uk,movie.country
1223,show me british films,movie.country
1224,list uk movies,movie.country
1225,get films from the united kingdom,movie.country
1226,i want to watch a comedy made in norway,movie.country movie.genre
1227,get me a list of movies that ron howard produce,movie.produced_by
1228,ron howard movies produce list,movie.produced_by
1229,list movies directed by clint eastwood,movie.directed_by
1230,show director clint eastwood movies,movie.directed_by
1231,what movies did clint eastwood direct,movie.directed_by
1232,movies directed by clint eastwood,movie.directed_by
1233,list movies produced by sean penn,movie.produced_by
1234,find movies about vietnam,movie.subjects
1235,what movies has spielberg been a producer on,movie.produced_by
1236,i would like to select the option to search for movies produced by stephen spielberg,movie.produced_by
1237,please list all movies that stephen spielberg produced,movie.produced_by
1238,select the option to search for movies produced by stephen spielberg,movie.produced_by
1239,which productions are from stephen spilberg,movie.produced_by
1240,find movies produced by steven spielberg,movie.produced_by
1241,list steven spielberg produced movies,movie.produced_by
1242,show me movies produced by stephen spielberg,movie.produced_by
1243,was kevin james in hitch,movie.starring.actor
1244,was will smith in hitch,movie.starring.actor
1245,show me a list of disney movies,movie.production_companies
1246,give me a list of some movies by producer walt disney,movie.production_companies
1247,list all movies that walt disney produced,movie.production_companies
1248,show all movies directed by ron howard,movie.directed_by
1249,what movies has ron howard directed,movie.directed_by
1250,find movies by ron howard,movie.directed_by
1251,show movies directed by ron howard,movie.directed_by
1252,find movies produced by brian glazer,movie.produced_by
1253,list spielberg movies,movie.directed_by
1254,show spielberg movies,movie.directed_by
1255,what did spielberg direct,movie.directed_by
1256,stephen spielberg movies,movie.directed_by
1257,filmography for steven spielberg,movie.directed_by
1258,find movies directed by steven spielberg,movie.directed_by
1259,find steven spielberg movies,movie.directed_by
1260,i want to find movies directed by stephen speilberg,movie.directed_by
1261,list all steven spielberg movies,movie.directed_by
1262,please find the movies by steven spielberg,movie.directed_by
1263,show films by steven spielberg,movie.directed_by
1264,show steven spielberg movies,movie.directed_by
1265,show steven spielberg movies,movie.directed_by
1266,steven spielberg movies,movie.directed_by
1267,steven spielberg pictures,movie.directed_by
1268,what movies has steven spielberg done,movie.directed_by
1269,find movies directed by steven spielberg,movie.directed_by
1270,movie by steven spielberg,movie.directed_by
1271,movie stuff for steven spielberg,movie.directed_by
1272,movies by steven spielberg,movie.directed_by
1273,movies directed by steven spielberg,movie.directed_by
1274,can i see what movies steven spielberg has done,movie.directed_by
1275,can you find movies with steven spielberg,movie.directed_by
1276,spielberg movies,movie.directed_by
1277,videos of steven spielberg,movie.directed_by
1278,find a list of movies directed by spielberg,movie.directed_by
1279,show me the movies that spielberg made,movie.directed_by
1280,can you please search for movies by steven spielberg,movie.directed_by
1281,find movies directed by stephen spielberg,movie.directed_by
1282,find movies directed by stephen spielberg,movie.directed_by
1283,i would like to search for movies directed by stephen spielberg,movie.directed_by
1284,list some movies directed by steven spielberg,movie.directed_by
1285,please find movies directed by stephen spielberg,movie.directed_by
1286,show me movies directed by steven spielberg,movie.directed_by
1287,show me the movies directed by steven spielberg,movie.directed_by
1288,which movies are from stephen spielberg,movie.directed_by
1289,gilda charles vidor,movie.directed_by
1290,show me movie gilda by charles vidor,movie.directed_by
1291,find some musical movies,movie.genre
1292,looking for a musical movie,movie.genre
1293,show me a list of musicals,movie.genre
1294,find the movie hum tum,NO_REL
1295,find movies directed by eddie murphy,movie.directed_by
1296,search movies by noah baumbach,movie.directed_by
1297,search chick flicks,movie.genre
1298,can you show me movies about war,movie.subjects
1299,show me some war themed movies,movie.subjects
1300,show movies concerning war,movie.subjects
1301,please list movies about war,movie.subjects
1302,list movies about war,movie.subjects
1303,what movies are made by twentieth century fox television,movie.production_companies
1304,find movies directed by todd solondz,movie.directed_by
1305,find me movies with hugh jackman,movie.starring.actor
1306,what ron howard movies are rated pg-13,movie.rating movie.directed_by
1307,look for dramas made or shot in france,movie.country movie.genre
1308,find movies from france,movie.country
1309,i want to see movies from france,movie.country
1310,movies from france,movie.country
1311,what are all the movies to come out of france,movie.country
1312,give me a list of movies made in france,movie.country
1313,i am looking for movies made in france,movie.country
1314,i want to see a list of movies that were made in france,movie.country
1315,i would like to view any movies made in france,movie.country
1316,please show me movies made in france,movie.country
1317,find movies from france,movie.country
1318,find movies from france,movie.country
1319,what movies were filmed in france,movie.country
1320,find french films,movie.country movie.language
1321,find french movies,movie.country movie.language
1322,find french movies,movie.country movie.language
1323,french movies,movie.country movie.language
1324,i would like to see french movies,movie.country movie.language
1325,list french movies,movie.country movie.language
1326,look for french movies,movie.country movie.language
1327,look up french movies,movie.country movie.language
1328,show me french movies,movie.country movie.language
1329,show me only french foreign films,movie.country movie.language
1330,are there any french films showing,movie.country movie.language
1331,show me mystery movies,movie.genre
1332,find movies produced by disney pixar,movie.production_companies
1333,show me pixar films,movie.production_companies
1334,find movies produced by lucas films,movie.production_companies
1335,i would like to find movies starring the singer mario,movie.starring.actor
1336,look for movies starring the singer mario,movie.starring.actor
1337,search for movies starring the singer mario,movie.starring.actor
1338,bring up all diving movies,movie.subjects
1339,bring up all diving related movies,movie.subjects
1340,show me all movies about diving,movie.subjects
1341,show me diving movies,movie.subjects
1342,sort in all diving movies,movie.subjects
1343,what is the plot of vulgaria,NO_REL
1344,find movies by mosfilm,movie.production_companies
1345,search for movies that were produced by mosfilm,movie.production_companies
1346,what films deal with immigrants in america,movie.subjects
1347,look for cher movies,movie.starring.actor
1348,show me cher movies,movie.starring.actor
1349,eva mendes films,movie.starring.actor
1350,the god father,NO_REL
1351,i need a list of tom hanks movies,movie.starring.actor
1352,i want to view only movies with tom hanks,movie.starring.actor
1353,i want to watch movies with tom hanks,movie.starring.actor
1354,list tom hanks movies for me,movie.starring.actor
1355,movies with tom hanks,movie.starring.actor
1356,show me tom hanks movies,movie.starring.actor
1357,show tom hanks movies,movie.starring.actor
1358,tell me what movies tom hanks star in,movie.starring.actor
1359,tom hanks movies,movie.starring.actor
1360,watch tom hanks,movie.starring.actor
1361,what other movies did tom hanks star in,movie.starring.actor
1362,find movies produced by morgan freeman,movie.produced_by
1363,producer tom hanks movies,movie.produced_by
1364,what did tom hanks produces,movie.produced_by
1365,find movies directed by oliver stone,movie.directed_by
1366,find oliver stone directed movies,movie.directed_by
1367,i need movies directed by oliver stone,movie.directed_by
1368,please provide movies directed by oliver stone,movie.directed_by
1369,show movies directed by oliver stone,movie.directed_by
1370,name all of the movies john singleton has directed,movie.directed_by
1371,what are all of the movies that john singleton has directed,movie.directed_by
1372,show me movies in greek,movie.language
1373,are there any movies in greek,movie.language
1374,can i see all movies starring alan rickman,movie.starring.actor
1375,show me movies with alan rickman,movie.starring.actor
1376,show movies charlie sheen,movie.starring.actor
1377,funny pg thirteen movies,movie.rating movie.genre
1378,find movies produced by albert ruddy,movie.produced_by
1379,please look up movies produced by albert ruddy,movie.produced_by
1380,list all movies produced by alfred ruddy,movie.produced_by
1381,search for movies produced by albert ruddy,movie.produced_by
1382,what movies has albert ruddy produced,movie.produced_by
1383,what movies have albert ruddy produced,movie.produced_by
1384,which movie was produced by albert rudy,movie.produced_by
1385,which all movies are produced by yash chopra,movie.produced_by
1386,the camp out,NO_REL
1387,get all brad pitt produced movies,movie.produced_by
1388,what movies have brad pitt produced,movie.produced_by
1389,what movies were produced by brad pitt,movie.produced_by
1390,find movies starring halle berry,movie.starring.actor
1391,look for films with halle berry,movie.starring.actor
1392,search movies in which halle berry acted,movie.starring.actor
1393,films by mel gibson,movie.directed_by
1394,search movies made by mel gibson,movie.directed_by
1395,movies by mel gibson,movie.directed_by
1396,show me a list of movies directed by mel gibson,movie.directed_by
1397,is this movie a romance,movie.genre
1398,home this movie is in english,movie.language
1399,hope this movie is in english,movie.language
1400,i hope this movie would be in english,movie.language
1401,need to provide more info about the movie content,movie.subjects
1402,was what tom cruise's first movie,movie.starring.actor movie.initial_release_date
1403,is the other guys a comedy,movie.genre
1404,what movies have robert deniro produced,movie.produced_by
1405,find me a list of movies directed by james cameron,movie.directed_by
1406,find movies directed by james cameron,movie.directed_by
1407,i want to find movies by director james cameron,movie.directed_by
1408,list all of the movies directed by james cameron,movie.directed_by
1409,list movies directed by james cameron,movie.directed_by
1410,watch james cameron movies,movie.directed_by
1411,can you show me a list of all the movies directed by james cameron,movie.directed_by
1412,show me a list of all the movies directed by james cameron,movie.directed_by
1413,show me other movies produced by james cameron,movie.produced_by
1414,show me the movies that james cameron has produced,movie.produced_by
1415,find me some warner bros. movies,movie.production_companies
1416,i want to see movies produced by warner bros,movie.production_companies
1417,show me a list of all warner bros. films,movie.production_companies
1418,show me all films produced by warner bros.,movie.production_companies
1419,show me the movies produced by warner bros,movie.production_companies
1420,what are the films that warner bros. produced,movie.production_companies
1421,i need to see some movies from warner brothers,movie.production_companies
1422,search for warner brothers movies,movie.production_companies
1423,i would love to see some movies produced by the wb,movie.production_companies
1424,what movies has jj abrams procuced,movie.produced_by
1425,show recent films starring bruce willis,movie.starring.actor movie.initial_release_date
1426,list recent films with actor bruce willis,movie.starring.actor movie.initial_release_date
1427,find john cusack movies,movie.starring.actor
1428,get john cusack movies for me,movie.starring.actor
1429,look for john cusack movies,movie.starring.actor
1430,look for wes anderson films,movie.directed_by
1431,i would like to know the names of all the movies which have george clooney in them,movie.starring.actor
1432,which are some of the movies that have george clooney in them,movie.starring.actor
1433,show me some films produced by jon landau,movie.produced_by
1434,about finding nemo,NO_REL
1435,about finding nemo,NO_REL
1436,about finding nemo,NO_REL
1437,all about finding nemo,NO_REL
1438,detail finding nemo,NO_REL
1439,find me more about finding nemo,NO_REL
1440,finding nemo,NO_REL
1441,finding nemo,NO_REL
1442,finding nemo details please,NO_REL
1443,finding nemo info,NO_REL
1444,how can i get more information on finding nemo,NO_REL
1445,i need general information on finding nemo,NO_REL
1446,i would like to see finding nemo's page,NO_REL
1447,information on finding nemo,NO_REL
1448,information on finding nemo,NO_REL
1449,look up finding nemo,NO_REL
1450,open page for finding nemo,NO_REL
1451,please find me some info on finding nemo,NO_REL
1452,run a search for finding nemo for me please,NO_REL
1453,show details of the original finding nemo,NO_REL
1454,show finding nemo,NO_REL
1455,show me finding nemo,NO_REL
1456,show me finding nemo's page,NO_REL
1457,show me the official site for finding nemo,NO_REL
1458,synopsis for finding nemo,NO_REL
1459,synopsis for finding nemo,NO_REL
1460,where can i find information on finding nemo,NO_REL
1461,about the campaign,NO_REL
1462,i would like to get all the information about the the campaign,NO_REL
1463,run a search for the campaign,NO_REL
1464,the campaign,NO_REL
1465,what is the campaign about,NO_REL
1466,show me apollo thirteen,NO_REL
1467,frank capra movies,movie.directed_by
1468,find movies produced by castle rock entertainment,movie.production_companies
1469,what movies does jake gyllenhaal star in,movie.starring.actor
1470,get a list of movies with kristen stewart,movie.starring.actor
1471,kristen stewart top movies,movie.starring.actor
1472,show me all movies kristen stewart has been in,movie.starring.actor
1473,what movies have kristen stewart done,movie.starring.actor
1474,which movies has kristen stewart been in,movie.starring.actor
1475,list movie info kristen stewart,movie.starring.actor
1476,find movie info kristenn stewart,movie.starring.actor
1477,movie info kristen stewart,movie.starring.actor
1478,show lionsgate director movies,movie.production_companies
1479,display movies made by production lionsgate,movie.production_companies
1480,i want to see a list of lionsgate movies,movie.production_companies
1481,lionsgate films,movie.production_companies
1482,lionsgate list,movie.production_companies
1483,lionsgate movies,movie.production_companies
1484,list lionsgate movies,movie.production_companies
1485,search for lionsgate movies,movie.production_companies
1486,what movies has lionsgate done,movie.production_companies
1487,michelle phifer movie list,movie.starring.actor
1488,find danish movies,movie.country movie.language
1489,show me the movies acted by chiranjeevi,movie.starring.actor
1490,what movies has charles vidor directed,movie.directed_by
1491,what other movies die charles vidor direct,movie.directed_by
1492,show me all movies by charles vidor,movie.directed_by
1493,i'd like to see foreign films,movie.country
1494,search for foreign movies,movie.country
1495,what are some universal pictures films,movie.production_companies
1496,show me all the movies made by universal,movie.production_companies
1497,find historical movies,movie.genre
1498,display the films by 7 arts,movie.production_companies
1499,show movies done by 7 arts,movie.production_companies
1500,can you show me a korean movie,movie.country movie.language
1501,find korean movies,movie.country movie.language
1502,korean movie,movie.country movie.language
1503,show me korean movies,movie.country movie.language
1504,i want to watch a korean movie,movie.country movie.language
1505,find all rated pg-13 movies with eddie murphy,movie.rating movie.starring.actor
1506,twentieth century fox movies since 1990,movie.initial_release_date
1507,can you show me movies starring denzel washington please,movie.starring.actor
1508,i want to see movies starring denzel washington,movie.starring.actor
